lon;lat;annual_mean_temp;annual_pp;annual_mean_temp_2080;annual_pp_2080;annual_mean_temp_2050;annual_pp_2050
-78.07862285;62.50196385;-8.6;0.346;-2.859656167;0.387174583;-5.16925175;33.06698567
-77.99528515;62.50196385;-8.7;0.35;-2.859656167;0.387174583;-5.16925175;33.06698567
-77.91194745;62.50196385;-8.7;0.349;-2.859656167;0.387174583;-5.16925175;33.06698567
-77.82860975;62.50196385;-9;0.357;-2.859656167;0.387174583;-5.16925175;33.06698567
-77.74527205;62.50196385;-9;0.359;-3.53327975;0.428337491;-5.81364075;36.81184367
-77.66193435;62.50196385;-9.1;0.362;-3.53327975;0.428337491;-5.81364075;36.81184367
-77.57859665;62.50196385;-9.5;0.372;-3.53327975;0.428337491;-5.81364075;36.81184367
-77.49525895;62.50196385;-9.6;0.374;-3.53327975;0.428337491;-5.81364075;36.81184367
-77.41192125;62.50196385;-9.1;0.363;-3.830042667;0.460053293;-6.0886125;39.57930025
-77.32858355;62.50196385;-9.7;0.377;-3.830042667;0.460053293;-6.0886125;39.57930025
-77.24524585;62.50196385;-9.7;0.38;-3.830042667;0.460053293;-6.0886125;39.57930025
-77.16190815;62.50196385;-9.5;0.374;-3.830042667;0.460053293;-6.0886125;39.57930025
-77.07857045;62.50196385;-9.2;0.368;-3.830042667;0.460053293;-6.0886125;39.57930025
-76.99523275;62.50196385;-9.5;0.375;-3.726381833;0.478754482;-5.982441;41.11984508
-76.91189505;62.50196385;-9.1;0.367;-3.726381833;0.478754482;-5.982441;41.11984508
-76.82855735;62.50196385;-9.2;0.37;-3.726381833;0.478754482;-5.982441;41.11984508
-76.74521965;62.50196385;-8.6;0.356;-3.726381833;0.478754482;-5.982441;41.11984508
-78.07862285;62.41862615;-8.4;0.344;-2.859656167;0.387174583;-5.16925175;33.06698567
-77.99528515;62.41862615;-8.4;0.345;-2.859656167;0.387174583;-5.16925175;33.06698567
-77.91194745;62.41862615;-8.6;0.35;-2.859656167;0.387174583;-5.16925175;33.06698567
-77.82860975;62.41862615;-8.9;0.357;-2.859656167;0.387174583;-5.16925175;33.06698567
-77.74527205;62.41862615;-9.1;0.364;-3.53327975;0.428337491;-5.81364075;36.81184367
