"lon","lat","annual_mean_temp","annual_pp"
-79.74537685,45.00104685,5.7,0.994
-79.74537685,45.08438455,5.6,1.007
-79.74537685,45.16772225,5.5,1.017
-79.74537685,45.25105995,5.3,1.026
-79.74537685,45.33439765,5,1.035
-79.74537685,45.41773535,4.9,1.031
-79.74537685,45.50107305,4.8,1.027
-79.74537685,45.58441075,4.7,1.019
-79.74537685,45.66774845,4.6,1.011
-79.74537685,45.75108615,4.5,1
-79.74537685,45.83442385,4.4,0.986
-79.74537685,45.91776155,4.4,0.97
-79.74537685,46.00109925,4.5,0.952
-79.74537685,46.08443695,4.5,0.939
-79.74537685,46.16777465,4.5,0.924
-79.74537685,46.25111235,4.5,0.913
-79.74537685,46.33445005,4.3,0.911
-79.74537685,46.41778775,4,0.915
-79.74537685,46.50112545,3.7,0.913
-79.74537685,46.58446315,3.6,0.906
-79.74537685,46.66780085,3.6,0.897
-79.74537685,46.75113855,3.5,0.89
-79.74537685,46.83447625,3.3,0.887
-79.74537685,46.91781395,3.1,0.884
-79.74537685,47.00115165,3,0.876
-79.74537685,47.08448935,2.9,0.87
-79.74537685,47.16782705,2.7,0.869
-79.74537685,47.25116475,2.7,0.857
-79.74537685,47.33450245,2.6,0.845
-79.74537685,47.41784015,2.7,0.829
-79.74537685,47.50117785,2.9,0.811
-79.74537685,47.58451555,2.7,0.811
-79.74537685,47.66785325,2.7,0.802
-79.74537685,47.75119095,2.6,0.802
-79.74537685,47.83452865,2.2,0.815
-79.74537685,47.91786635,1.9,0.825
-79.74537685,48.00120405,1.8,0.827
-79.74537685,48.08454175,1.7,0.83
-79.74537685,48.16787945,1.6,0.832
-79.74537685,48.25121715,1.3,0.842
-79.74537685,48.33455485,1.3,0.839
-79.74537685,48.41789255,1.3,0.836
-79.74537685,48.50123025,1.2,0.835
-79.74537685,48.58456795,1.2,0.833
-79.74537685,48.66790565,1.1,0.831
-79.74537685,48.75124335,1,0.833
-79.74537685,48.83458105,0.9,0.833
-79.74537685,48.91791875,0.7,0.837
-79.74537685,49.00125645,0.4,0.843
-79.74537685,49.08459415,0.5,0.836
-79.74537685,49.16793185,0.4,0.832
-79.74537685,49.25126955,0.3,0.832
-79.74537685,49.33460725,0.3,0.829
-79.74537685,49.41794495,0.3,0.821
-79.74537685,49.50128265,0.2,0.821
-79.74537685,49.58462035,0,0.822
-79.74537685,49.66795805,0,0.823
-79.74537685,49.75129575,0,0.816
-79.74537685,49.83463345,-0.1,0.811
-79.74537685,49.91797115,-0.1,0.808
-79.74537685,50.00130885,-0.3,0.807
-79.74537685,50.08464655,-0.3,0.804
-79.74537685,50.16798425,-0.4,0.802
-79.74537685,50.25132195,-0.5,0.797
-79.74537685,50.33465965,-0.5,0.793
-79.74537685,50.41799735,-0.6,0.789
-79.74537685,50.50133505,-0.5,0.779
-79.74537685,50.58467275,-0.3,0.766
-79.74537685,50.66801045,-0.1,0.753
-79.74537685,50.75134815,0,0.743
-79.74537685,50.83468585,0,0.737
-79.74537685,50.91802355,-0.1,0.734
-79.74537685,51.00136125,-0.1,0.73
-79.74537685,51.08469895,-0.2,0.728
-79.74537685,51.16803665,-0.3,0.725
-79.74537685,51.25137435,-0.3,0.723
-79.74537685,51.33471205,-0.4,0.72
-79.74537685,53.25147915,-2.2,0.642
-79.74537685,53.41815455,-2.4,0.637
-79.74537685,53.50149225,-2.5,0.635
-79.74537685,54.58488235,-3.4,0.6
-79.74537685,54.75155775,-3.5,0.594
-79.74537685,55.41825935,-4.1,0.572
-79.74537685,55.75161015,-4.3,0.558
-79.74537685,55.83494785,-4.4,0.555
-79.74537685,55.91828555,-4.6,0.554
-79.74537685,56.00162325,-4.7,0.551
-79.74537685,56.08496095,-4.7,0.547
-79.74537685,56.16829865,-4.7,0.541
-79.74537685,56.25163635,-4.8,0.537
-79.74537685,56.33497405,-4.8,0.532
-79.74537685,56.75166255,-5.2,0.513
-79.74537685,56.83500025,-5.2,0.509
-79.74537685,56.91833795,-5.3,0.505
-79.74537685,57.41836415,-5.7,0.484
-79.74537685,57.50170185,-5.8,0.48
-79.74537685,57.58503955,-5.8,0.476
-79.74537685,57.83505265,-6,0.466
-79.74537685,61.58524915,-8.3,0.354
-79.74537685,61.66858685,-8.5,0.354
-79.74537685,61.75192455,-8.6,0.354
-79.74537685,61.83526225,-8.8,0.355
-79.74537685,61.91859995,-8.7,0.351
-79.74537685,62.00193765,-8.9,0.353
-79.74537685,62.08527535,-9.1,0.353
-79.74537685,62.16861305,-9.1,0.352
-79.74537685,62.25195075,-9,0.347
-79.74537685,62.33528845,-8.8,0.339
-79.66203915,45.00104685,5.7,0.995
-79.66203915,45.08438455,5.5,1.007
-79.66203915,45.16772225,5.4,1.016
-79.66203915,45.25105995,5.1,1.032
-79.66203915,45.33439765,4.9,1.037
-79.66203915,45.41773535,4.8,1.037
-79.66203915,45.50107305,4.6,1.031
-79.66203915,45.58441075,4.7,1.018
-79.66203915,45.66774845,4.5,1.01
-79.66203915,45.75108615,4.3,1.005
-79.66203915,45.83442385,4.2,0.994
-79.66203915,45.91776155,4.3,0.977
-79.66203915,46.00109925,4.4,0.958
-79.66203915,46.08443695,4.4,0.942
-79.66203915,46.16777465,4.5,0.923
-79.66203915,46.25111235,4.5,0.914
-79.66203915,46.33445005,4.1,0.92
-79.66203915,46.41778775,3.8,0.923
