B M R T
0 0 0.25 0.75
0 0 0.458 0.542
0.05 0.178 0.47 0.302
0.05 0.178 0.47 0.302
0.05 0.178 0.47 0.302
0.002 0 0.634 0.364
0.002 0 0.634 0.364
0.002 0 0.634 0.364
0.002 0 0.634 0.364
0.048 0.672 0.19 0.09
0.034 0.02 0.798 0.148
0.028 0.038 0.828 0.106
0 0 0.546 0.454
0.05 0.358 0.54 0.052
0.16 0.492 0.254 0.094
0.202 0.008 0.79 0
0.276 0.204 0.316 0.204
0.044 0.066 0.842 0.048
0.044 0.066 0.842 0.048
0.044 0.066 0.842 0.048
0.044 0.066 0.842 0.048
0.53 0 0.47 0
0.262 0 0.738 0
0.402 0.144 0.454 0
0.608 0.344 0.046 0.002
0.17 0.534 0.284 0.012
0.09 0.654 0.158 0.098
0.278 0.416 0.292 0.014
0.234 0.418 0.228 0.12
0.154 0.658 0.168 0.02
0.162 0.236 0.416 0.186
0.59 0.128 0.282 0
0.812 0 0.188 0
0.706 0 0.294 0
0.746 0 0.254 0
0.354 0.356 0.238 0.052
0.09 0.536 0.306 0.068
0 0 0.046 0.954
0 0 0.082 0.918
0.06 0.014 0.61 0.316
0.038 0.05 0.686 0.226
0 0 0.576 0.424
0 0 0.244 0.756
0 0 0.294 0.706
0 0 0.244 0.756
0 0 0.294 0.706
0 0 0.756 0.244
0.02 0.03 0.738 0.212
0.1 0.126 0.654 0.12
0.132 0.378 0.296 0.194
0 0 0.356 0.644
0 0 0.356 0.644
0 0 0.576 0.424
0.28 0.168 0.292 0.26
0.004 0.634 0.306 0.056
0.28 0.168 0.292 0.26
0.004 0.634 0.306 0.056
0 0 0.636 0.364
0 0 0.48 0.52
0 0 0.566 0.434
0 0 0.756 0.244
0 0 0.756 0.244
0.214 0.006 0.564 0.216
0 0 0.474 0.526
0.214 0.006 0.564 0.216
0 0 0.232 0.768
0 0 0.158 0.842
0 0 0.762 0.238
0 0 0.168 0.832
0 0 0.31 0.69
0 0 0.888 0.112
0 0 0.474 0.526
0 0 0.27 0.73
0 0 0.474 0.526
0 0 0.27 0.73
0.004 0.006 0.99 0
0.014 0.002 0.272 0.712
0.064 0.428 0.292 0.216
0.064 0.428 0.292 0.216
0.064 0.428 0.292 0.216
0.064 0.428 0.292 0.216
0 0 0.13 0.87
0 0 0.072 0.928
0.028 0.266 0.686 0.02
0.028 0.266 0.686 0.02
